Jungle Sniper Hunting 3D,Action,45M,3.5,16 June 2016,com.rvx.jungle.sniper.hunting,Jungle Sniper Hunting 3D,Action,45M,3.5,June 16, 2016,http://dl3.apk-dl.com/root/apk/2016/7/9/com.rvx.jungle.sniper.hunting_26.apk?f=Jungle Sniper Hunting 3D_3.5_apk-dl.com.apk,
Crocodile Simulator 3D,Action,36M,1.5,3 August 2015,com.tapinator.crocodile.simulator.crocs,Crocodile Simulator 3D,Action,36M,1.5,August 3, 2015,http://dl3.apk-dl.com/store/download?id=com.tapinator.crocodile.simulator.crocs,
MORTAL Racing 3D,Action,19M,1.4,2 January 2015,com.foosegames.mortalracing3D,MORTAL Racing 3D,Action,19M,1.4,January 2, 2015,http://dl3.apk-dl.com/store/download?id=com.foosegames.mortalracing3D,
Dungeon Archer Run 3D,Action,38M,1.9,19 May 2016,com.bosphorus.dungeon.archer.run,Dungeon Archer Run 3D,Action,38M,1.9,May 19, 2016,http://dl3.apk-dl.com/store/download?id=com.bosphorus.dungeon.archer.run,
Pixel Strike 3D,Action,64M,2.0.1,3 July 2016,com.pixellabs.pixelstrike3d,Pixel Strike 3D,Action,64M,2.0.1,July 3, 2016,http://dl3.apk-dl.com/root/apk/2016/7/4/com.pixellabs.pixelstrike3d_35.apk?f=Pixel Strike 3D_2.0.1_apk-dl.com.apk,
Nights at Cube Pizzeria 3D – 2,Action,34M,1.6,7 June 2016,com.gamesarcade.cubenightatpizza,Nights at Cube Pizzeria 3D – 2,Action,34M,1.6,June 7, 2016,http://dl3.apk-dl.com/store/download?id=com.gamesarcade.cubenightatpizza,
3D Tanks Online: Tanktastic,Action,,,24 January 2015,ghor.games.tanktastic,3D Tanks Online: Tanktastic,Action,Undefined,1.22-x86,January 24, 2015,http://dl3.apk-dl.com/root/apk/2015/9/28/ghor.games.tanktastic_46.apk?f=3D Tanks Online: Tanktastic_1.22-x86_apk-dl.com.apk,
Train Attack 3D,Action,56M,1.2,1 July 2016,com.tgb.train.rescuesimulator,Train Attack 3D,Action,56M,1.2,July 1, 2016,http://dl3.apk-dl.com/root/apk/2016/7/3/com.tgb.train.rescuesimulator_5.apk?f=Train Attack 3D_1.2_apk-dl.com.apk,
City Ninja Assassin Warrior 3D,Action,37M,1.0.6,24 May 2016,com.kick.city.ninja.assassin,City Ninja Assassin Warrior 3D,Action,37M,1.0.6,May 24, 2016,http://dl3.apk-dl.com/root/apk/2016/6/15/com.kick.city.ninja.assassin_6.apk?f=City Ninja Assassin Warrior 3D_1.0.6_apk-dl.com.apk,
San Andreas Crime City,Action,44M,21,20 October 2015,com.mp.sanandreas,San Andreas Crime City 3D,Action,44M,21,October 20, 2015,http://dl3.apk-dl.com/root/apk/2015/10/25/com.mp.sanandreas_21.apk?f=San Andreas Crime City 3D_21_apk-dl.com.apk,
